ts_iso,dir,can_id,dlc,data_hex
2025-08-10T15:28:35.156,RX,0x064,6,01 B7 3F 80 07 EB
2025-08-10T15:28:35.260,RX,0x064,6,01 B7 3F 80 07 DE
2025-08-10T15:28:35.361,RX,0x064,6,01 B7 3F 80 08 08
2025-08-10T15:28:35.464,RX,0x064,6,01 B7 3F 80 07 DF
2025-08-10T15:28:35.567,RX,0x064,6,01 B7 3F 80 07 DE
2025-08-10T15:28:35.668,RX,0x064,6,01 B7 3F 80 07 B9
2025-08-10T15:28:35.769,RX,0x064,6,01 B7 3F 80 08 1E
2025-08-10T15:28:35.870,RX,0x064,6,01 B7 3F 80 07 F7
2025-08-10T15:28:35.972,RX,0x064,6,01 B7 3F 80 08 3B
2025-08-10T15:28:36.073,RX,0x064,6,01 B7 3F 80 08 05
2025-08-10T15:28:36.173,RX,0x064,6,01 B7 3F 80 08 1F
2025-08-10T15:28:36.275,RX,0x064,6,01 B7 3F 80 08 02
2025-08-10T15:28:36.379,RX,0x064,6,01 B7 3F 80 07 F5
2025-08-10T15:28:36.481,RX,0x064,6,01 B7 3F 80 07 81
2025-08-10T15:28:36.581,RX,0x064,6,01 B7 3F 80 08 2D
2025-08-10T15:28:36.682,RX,0x064,6,01 B7 3F 80 07 F1
2025-08-10T15:28:36.783,RX,0x064,6,01 B7 3F 80 08 29
2025-08-10T15:28:36.885,RX,0x064,6,01 B7 3F 80 07 F8
2025-08-10T15:28:36.984,RX,0x064,6,01 B7 3F 80 08 05
2025-08-10T15:28:37.085,RX,0x064,6,01 B7 3F 80 07 B3
2025-08-10T15:28:37.186,RX,0x064,6,01 B7 3F 80 07 F8
2025-08-10T15:28:37.290,RX,0x064,6,01 B7 3F 80 08 54
2025-08-10T15:28:37.389,RX,0x064,6,01 B7 3F 80 08 1F
2025-08-10T15:28:37.491,RX,0x064,6,01 B7 3F 80 07 EF
2025-08-10T15:28:37.595,RX,0x064,6,01 B7 3F 80 07 B4
2025-08-10T15:28:37.697,RX,0x064,6,01 B7 3F 80 08 40
2025-08-10T15:28:37.799,RX,0x064,6,01 B7 3F 80 07 B6
2025-08-10T15:28:37.900,RX,0x064,6,01 B7 3F 80 08 0B
2025-08-10T15:28:38.001,RX,0x064,6,01 B7 3F 80 08 1F
2025-08-10T15:28:38.103,RX,0x064,6,01 B7 4E 80 A7 F4
2025-08-10T15:28:38.205,RX,0x064,6,01 B7 B4 82 88 2D
2025-08-10T15:28:38.306,RX,0x064,6,01 B8 D1 85 97 EB
2025-08-10T15:28:38.409,RX,0x064,6,01 BA 89 86 D7 F1
2025-08-10T15:28:38.512,RX,0x064,6,01 BC 19 84 A7 FD
2025-08-10T15:28:38.614,RX,0x064,6,01 BC 72 80 07 F0
2025-08-10T15:28:38.720,RX,0x064,6,01 BC 72 80 08 37
2025-08-10T15:28:38.822,RX,0x064,6,01 BC 72 80 07 D3
2025-08-10T15:28:38.923,RX,0x064,6,01 BC 72 80 07 CC
2025-08-10T15:28:39.023,RX,0x064,6,01 BC 72 80 07 F8
