Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0101029928561829,0.00541510687776237,0.00457907189567913,0,0,0,0.549364878093784,0.000771742191237932,8.38431267360727E-10,-4.722910695528E-10,0.000859100434967534,9.87271661745301E-06,0.00131623999693316,0,0,0,0,0,0,package://URDFrv4310V5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/base_link.STL,,1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,-0.000781490820317452,0.0580700930599702,-0.00126797317734528,0,0,0,0.242062228655253,0.000504928035272043,-2.5429599432052E-05,-5.28431936620998E-07,0.000210327427014084,-3.40498472835185E-06,0.000444829175712722,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_2.STL,,2-1,Origin_Joint_2,Axis2,Joint_2,revolute,-0.010103026744882,0.00179032146302967,0.0400894885827927,1.5707963267949,0,0.179381121036193,base_link,0,-1,0,1,31,-3,3,,,,,,,,
Link_3,-0.0102408291409294,0.0707256840193482,0.00947108639695265,0,0,0,0.832348909178528,0.00232960877172623,0.00015238266675239,3.34530799286928E-05,0.0016150997682486,-0.000102104199591924,0.00319864134791107,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_3.STL,,3-1,Origin_Joint_3,Axis3,Joint_3,revolute,0,0.0839285714286007,0,0.0898969539883811,0,0,Link_2,-1,0,0,1,31,-1.8,2.4,,,,,,,,
Link_4,0.00381649471351599,0.0356879902083884,-0.00180159251172421,0,0,0,0.540085641549987,0.000881926455065342,-2.47270058115414E-05,-3.29414418346279E-05,0.000908479777825283,-7.96735726198769E-06,0.000627783398535952,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_4.STL,,4-1,Origin_Joint_4,Axis4,Joint_4,revolute,0,0.164285714285755,0,-0.0898969539883811,0,0,Link_3,-1,0,0,1,31,-3,0.9,,,,,,,,
Link_5,-5.0421643316749E-05,3.87733861684225E-09,-0.0908596484967922,0,0,0,0.489826895148836,0.000872428710041982,-6.43473032899696E-10,-2.5329942025357E-06,0.000954886719214237,-3.37703549154218E-09,0.000448735336495913,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_5.STL,,5-1,Origin_Joint_5,Axis5,Joint_5,revolute,-0.00750000000007934,0.035714285805316,-0.0379248046559524,0,0,-0.0982952561954597,Link_4,0,0,1,1,31,-4,4,,,,,,,,
Link_6,-0.00072939051878454,-0.0317590418807804,-0.000163870140061251,0,0,0,0.0433916328445809,1.59733296829986E-05,2.64102846180445E-07,6.4089632629229E-10,1.34169955464181E-05,1.18565253666416E-07,1.36372515629565E-05,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://URDFrv4310V5/meshes/Link_6.STL,,6-1,Origin_Joint_6,Axis6,Joint_6,revolute,0,0,-0.15373,0.28181,0,0,Link_5,-1,0,0,1,31,-3.5,0.9,,,,,,,,
